"Shannon",15,19,26,29,37,52,46,56,49,71,69,94,105,116,142,170
"Catherine",51,51,60,54,58,71,64,83,99,114,109,126,177,113,126,110
"Alison",45,58,62,62,60,83,91,93,100,114,118,136,113,136,129,136
"Danielle",41,48,76,58,66,86,83,100,113,114,115,104,147,150,188,193
"Orla",31,36,34,38,40,53,52,53,52,59,72,67,85,74,82,114
"Eimear",29,35,33,40,43,46,43,44,48,51,57,73,78,84,80,112
"Naomi",120,129,144,126,108,93,99,111,127,118,128,110,124,140,118,185
"Nicola",62,74,84,107,118,128,135,171,154,118,124,145,188,185,213,201
"Oliwia",0,0,0,0,0,0,0,389,256,120,103,80,122,129,136,165
"Muireann",138,141,132,113,170,159,125,122,130,91,94,107,118,87,121,124
"Lisa",47,47,47,55,55,64,91,93,97,121,153,192,196,195,199,241
"Orlaith",111,139,98,148,131,106,83,78,73,75,94,91,94,105,108,119
"Margaret",97,97,120,95,115,120,121,141,139,121,115,169,205,150,174,165
"Isobel",175,92,127,97,131,106,114,88,106,89,81,84,81,97,125,112
"Sorcha",78,74,80,107,102,88,120,122,106,121,146,145,165,170,164,254
"Ailbhe",146,115,114,107,94,115,99,108,102,109,129,110,107,133,93,122
"Jodie",99,97,78,72,73,66,61,76,135,127,146,154,188,140,337,265
"Abby",327,202,144,77,65,60,55,71,93,75,89,110,121,157,129,148
"Michaela",49,58,68,70,94,94,90,103,143,103,133,181,161,78,108,124
"Andrea",83,66,72,85,85,91,152,109,123,131,146,134,165,185,180,181
"Kelly",53,50,50,69,57,59,63,72,100,131,146,223,147,181,213,286
"Sinead",23,26,29,33,30,38,47,47,61,65,74,83,97,94,136,124
"Alicia",212,211,230,148,114,106,105,88,100,107,97,143,92,107,151,131
"Leanne",44,52,76,56,74,80,94,129,144,141,270,236,271,220,317,315
"Alana",134,100,127,96,102,94,89,130,94,144,139,159,152,162,172,185
"Chelsea",56,54,81,104,131,124,125,145,127,144,222,375,241,258,264,254
"Claire",37,39,41,44,54,61,86,79,97,144,111,117,173,170,157,165
"Jennifer",28,33,36,39,34,43,54,63,72,95,92,100,97,120,157,130
"Emer",63,63,66,80,82,124,110,85,119,144,161,166,165,170,208,216
"Amelie",0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,143
"Siobhan",50,76,74,65,87,100,97,116,127,144,197,156,183,170,199,207
"Hayley",90,221,202,225,218,143,186,159,113,150,167,173,152,137,139,138
"Alex",236,202,152,117,146,151,93,103,82,96,133,128,165,150,295,207
"Casey",106,100,95,112,121,131,170,145,133,157,136,159,147,149,174,185
"Jade",35,34,31,30,42,61,57,55,78,157,176,190,138,181,213,143
"Kathleen",120,99,102,131,117,132,135,214,144,163,161,209,199,220,221,227
"Hazel",117,135,101,89,108,131,110,99,88,87,98,132,152,145,172,122
"Alisha",220,188,174,154,112,124,114,91,82,93,81,128,127,140,132,172
"Jasmine",134,141,117,123,106,112,121,150,87,84,120,104,118,116,121,139
"Julie",90,111,120,168,121,132,131,138,161,170,136,159,158,240,193,185
"Melissa",99,84,122,129,138,189,135,125,139,170,169,203,191,166,164,232
"Natasha",78,71,97,104,112,132,114,130,139,170,184,223,191,306,337,399
"Erica",81,105,124,123,130,151,135,129,144,177,184,223,205,0,244,172
"Rachael",60,71,69,79,89,102,106,152,144,177,189,272,228,359,0,374
"Grainne",56,49,52,66,71,68,57,103,86,102,87,139,158,145,184,157
"Stephanie",69,78,92,91,94,90,161,181,151,182,161,217,161,220,295,254
"Claudia",106,141,144,97,153,162,166,165,214,196,222,236,251,465,264,286
"Kellie",122,111,163,91,141,114,161,185,187,202,381,403,351,393,435,357
"Aishling",117,93,159,194,153,162,196,214,192,215,381,532,468,393,0,660
"Cliona",83,127,142,154,123,179,176,145,199,215,281,181,177,203,317,315
"Nadine",75,149,104,143,89,68,131,165,171,215,210,203,264,266,510,424
"Courtney",43,44,53,82,83,94,114,152,161,222,179,312,302,266,0,424
"Karen",69,87,82,113,176,132,181,251,389,233,288,356,468,465,510,491
"Louise",36,45,53,50,48,56,69,76,92,103,103,117,127,162,237,227
"Gemma",56,84,92,97,101,104,106,119,137,106,101,132,138,170,151,232
"Heather",94,115,127,112,93,83,114,97,91,99,146,263,251,266,280,374
"Kim",94,111,159,196,148,247,219,251,320,251,660,437,351,510,435,587
"Jane",64,68,79,78,78,70,79,65,94,97,125,106,107,124,132,116
"Mairead",99,115,124,162,197,233,205,165,192,307,288,232,393,220,414,315
"Lorna",90,93,111,100,123,167,146,160,175,326,230,356,251,437,612,459
"Lauryn",236,70,45,123,120,179,224,165,214,404,210,466,437,393,337,374
"Shauna",14,15,16,17,22,26,32,38,39,50,70,80,85,92,111,124
"Elaine",77,111,111,194,176,167,186,209,282,549,288,329,437,414,612,459
